Index,Height.Inches,Weight.Pounds
8193,67.47277,99.0744
10441,66.24724,99.07691
23807,65.45648,99.10252
20035,66.23051,99.104
20945,67.17762,99.13368
16162,67.28414,99.15936
14347,66.10418,99.16114
7440,68.3217,99.18847
20655,67.54954,99.21333
10953,64.84702,99.24033
17728,67.30636,99.24041
3586,66.04072,99.27518
5234,64.90027,99.29265
20085,64.30312,99.33579
1390,64.12752,99.36058
24778,67.50335,99.40058
24931,65.11765,99.42378
17331,66.89045,99.50583
3254,65.80355,99.51504
4419,66.87883,99.56439
14588,65.37352,99.56696
24692,64.06894,99.60932
16210,65.03428,99.61482
7072,65.54329,99.65617
4094,66.03224,99.66224
8315,66.35212,99.69835
12577,64.74464,99.72601
10539,67.73576,99.74502
9344,65.48962,99.76843
4432,63.54206,99.76986
20816,65.81485,99.77933
5990,66.21908,99.78213
12937,64.81954,99.80369
6482,61.59011,99.81074
13288,65.63973,99.81515
11081,64.28708,99.82706
11189,65.15073,99.8475
17763,67.8327,99.86461
8796,65.7482,99.90975
924,67.20197,99.92383
1181,65.88357,99.97124
14463,63.93234,99.99409
18153,66.60941,100.0013
7404,67.03314,100.0056
6067,67.64197,100.025
9837,65.2831,100.0283
14851,63.95467,100.0358
10061,65.94149,100.0924
17647,65.38357,100.095
11353,65.62079,100.0969
24300,64.0373,100.1102
24394,64.98386,100.1129
12157,66.27501,100.1148
18856,66.907,100.1432
19316,66.49421,100.1453
17079,66.38253,100.1526
9285,67.53657,100.154
16315,65.99061,100.1656
7000,66.99476,100.1673
18580,67.06958,100.1749
14019,69.01055,100.181
1245,62.64242,100.1982
2873,67.8454,100.2365
18705,63.47841,100.2383
8377,65.76724,100.2388
6850,65.91717,100.2395
2092,67.08781,100.2532
18996,66.54299,100.2631
8130,66.66634,100.2743
18597,66.65974,100.292
14406,66.2882,100.3062
23414,64.46472,100.3255
20580,65.63555,100.3371
21706,62.48237,100.3418
14747,66.56949,100.3424
15785,65.20002,100.3488
6836,66.04561,100.3573
3474,67.84033,100.3696
9539,65.17576,100.3741
23007,68.2045,100.3754
15086,63.69076,100.3788
6918,62.29058,100.38
19055,66.5262,100.3805
19665,65.99699,100.402
1374,67.98003,100.4089
14371,68.1089,100.4395
13375,64.41103,100.447
9549,67.29478,100.4477
18438,66.01804,100.4529
5402,66.26275,100.455
16301,69.1875,100.505
20162,66.37869,100.5167
6274,65.01465,100.5445
13334,64.41176,100.5481
12550,64.58205,100.557
18962,66.31687,100.5823
10205,66.26707,100.585
10687,65.94463,100.5898
1429,66.34093,100.5991
22983,65.2444,100.6039
19680,64.6891,100.6123
273,67.78058,100.627
24622,65.6099,100.6414
13875,67.8651,100.6523
379,65.73721,100.6617
18109,69.96202,100.6786
19231,66.18949,100.7205
12778,66.19759,100.7474
16498,68.62702,100.7525
3348,67.4295,100.7527
6939,64.16792,100.7711
18647,63.47126,100.7746
20677,65.90871,100.8179
7157,63.49286,100.8383
24035,65.63798,100.8841
6589,69.02806,100.8881
6955,62.86676,100.8983
19479,67.57821,100.8997
8807,64.5675,100.9
21680,65.50774,100.9124
5423,64.86031,100.9173
24462,64.53079,100.9189
15057,66.52541,100.9191
12398,66.28154,100.9385
19199,61.827,100.9391
13525,63.66383,100.9581
21684,65.94018,100.974
286,65.60543,100.9758
17613,67.66499,100.9845
13808,64.97357,100.993
23181,65.32392,100.9973
4523,64.36337,100.9973
17669,67.92344,101.0071
20519,63.72249,101.0392
5247,62.52373,101.0402
3685,66.12992,101.0513
18760,65.10061,101.0707
6423,67.52032,101.0851
22926,70.02078,101.0972
20954,65.21117,101.1071
2379,65.84828,101.1193
18955,63.86584,101.1195
12749,66.13459,101.1344
22200,66.0317,101.1566
15161,65.26043,101.1571
13074,66.81163,101.159
24811,63.95584,101.1775
20635,65.39292,101.1876
2398,65.91279,101.2434
5763,64.91373,101.2648
1078,68.18324,101.2876
20724,68.51333,101.2957
5039,63.55273,101.2994
24640,68.70707,101.3046
12867,63.6611,101.3054
9509,66.47819,101.3276
3680,64.90605,101.3305
4180,64.62951,101.3328
12179,65.40349,101.3363
5788,64.54667,101.3587
7437,64.47721,101.3696
18472,65.27146,101.3705
23098,63.36047,101.3858
21723,65.04067,101.3936
2330,69.23016,101.4527
5579,66.06797,101.461
190,68.08015,101.4693
22787,64.71388,101.4857
12776,64.01757,101.5315
22818,67.62642,101.6002
17846,67.61551,101.6088
23338,64.63369,101.6115
4265,66.75484,101.615
2049,65.92674,101.6217
16124,64.56582,101.6407
12295,65.67844,101.6524
15547,64.32043,101.6548
24339,64.62128,101.6749
14403,65.39271,101.6976
11520,65.46233,101.7174
20087,63.01244,101.7311
9333,64.15481,101.7546
4099,66.60912,101.7777
7152,66.99874,101.7823
19364,67.28063,101.792
10745,65.56584,101.7955
7787,67.45601,101.7983
14372,68.11469,101.8313
5286,65.46377,101.8393
4034,65.46276,101.8479
2488,66.22516,101.8528
519,64.87142,101.8549
13008,67.86452,101.8559
21964,63.45696,101.8629
11369,63.63521,101.8813
13159,65.66804,101.8834
8699,65.46284,101.8952
10197,63.16568,101.9022
9987,67.94061,101.9043
3457,66.44894,101.9139
23948,63.8873,101.9472
20693,63.90356,101.9503
17376,68.33665,101.9516
9953,66.36602,101.9583
8102,64.16307,101.9669
21561,64.77568,101.9952
7793,66.38356,102.0057
6947,67.08789,102.0192
17155,65.07677,102.0212
11206,67.20279,102.0226
17359,66.21181,102.0376
10294,64.56593,102.0383
14557,65.29548,102.0506
7132,65.51898,102.0683
16560,66.59023,102.0816
22977,63.33985,102.0817
3887,65.04452,102.086
17493,67.7098,102.0889
101,64.87434,102.0927
4362,64.85426,102.1079
22536,68.68883,102.1817
726,66.21938,102.182
15334,62.58703,102.193
13575,65.15728,102.1984
23339,67.76332,102.2017
15582,67.60517,102.2036
23299,67.97247,102.2394
21944,66.34719,102.2607
18596,65.34904,102.2823
8880,66.24954,102.3152
21832,67.92182,102.3229
12869,65.16658,102.3367
22786,67.74583,102.3371
5973,68.4357,102.342
18836,65.8286,102.3607
22972,67.47683,102.3792
10471,65.96052,102.3802
6395,64.78001,102.3802
3994,66.50872,102.3817
16033,68.3986,102.3968
1292,63.80202,102.4047
22466,67.31884,102.4131
2549,63.84484,102.4259
17974,67.27659,102.4448
16826,69.63469,102.4555
21199,64.46515,102.4585
18357,65.52875,102.465
5537,64.28754,102.4825
21304,62.66611,102.4978
1242,65.20091,102.4998
2368,68.33332,102.5002
6506,65.44991,102.5063
5475,65.32212,102.5086
19410,62.66094,102.5225
2708,64.27555,102.5237
2493,63.91382,102.5247
1189,65.53651,102.5494
13541,66.63813,102.5589
11967,66.03322,102.562
15418,62.54756,102.5937
4880,63.65356,102.6027
17045,67.45506,102.6064
17815,67.11241,102.611
20201,65.90879,102.6161
15736,65.40338,102.6185
15094,63.99731,102.6267
2968,62.87696,102.6336
15200,65.62412,102.6406
8447,62.6775,102.6498
6668,66.75524,102.657
18282,66.11305,102.6734
7805,67.89813,102.687
12404,68.46486,102.6906
15041,67.47471,102.7244
4510,64.48835,102.7518
4871,63.30114,102.7788
13826,67.46686,102.788
20824,64.08191,102.7885
23406,63.55618,102.794
284,66.30582,102.8114
74,64.28508,102.8351
1495,65.95454,102.8468
22481,63.28424,102.8488
3402,64.92283,102.8549
6418,68.43761,102.8575
8638,67.10993,102.8583
19874,68.55679,102.8629
5515,69.1712,102.8732
19662,66.89987,102.8782
20512,66.27944,102.8787
22468,67.43331,102.8806
13771,65.28989,102.8829
13455,65.52188,102.8837
3867,65.06581,102.9057
1287,64.71984,102.93
8865,62.35553,102.9535
17193,65.60857,102.9622
23967,66.39716,102.9907
9175,66.78219,103.0118
13973,67.61855,103.0198
14446,65.49304,103.0317
4745,63.55844,103.049
19016,65.03535,103.0616
21471,66.08072,103.0628
21455,64.59419,103.0731
17887,66.17396,103.0751
8089,64.51431,103.0865
7199,67.95494,103.0898
17049,67.28659,103.0959
10984,67.91859,103.1035
16636,67.66967,103.1117
19249,64.498,103.1257
14106,64.97433,103.1333
22002,64.53855,103.166
21856,67.91525,103.1791
1326,66.40808,103.1971
10929,68.00311,103.2192
19384,65.5737,103.2335
23754,66.72787,103.2365
14600,64.92242,103.2442
21406,64.0985,103.2453
22710,67.22302,103.2602
17002,64.89975,103.2639
11451,67.72006,103.2679
19354,65.07993,103.2811
31,69.5233,103.3016
8690,64.50077,103.3027
17892,65.55334,103.3069
10867,65.29178,103.3172
14714,64.38771,103.3323
24338,65.87931,103.3388
24487,67.01715,103.3397
20243,67.53436,103.3526
7713,67.9694,103.3546
22085,63.74803,103.3567
1214,65.63768,103.3615
18116,66.30156,103.3628
19491,66.80899,103.3739
24989,66.10137,103.381
22876,64.64337,103.3826
12805,65.73625,103.3949
7599,64.09089,103.413
23872,64.61346,103.4199
5439,65.90074,103.4218
17759,68.12168,103.4226
13243,64.27586,103.4251
6419,67.34517,103.4353
19123,66.83653,103.4506
2939,66.74655,103.455
12180,66.2707,103.4722
12193,68.32528,103.4745
11936,66.72363,103.4764
21365,67.69537,103.4807
24135,63.5547,103.4864
14411,65.35315,103.4902
18066,65.28391,103.4991
20123,70.89583,103.5093
21104,64.44608,103.521
69,67.21568,103.5275
17659,67.09326,103.5604
821,67.00238,103.5665
21633,63.71092,103.5775
990,67.4966,103.5828
20885,68.90094,103.5978
6744,67.25945,103.6091
8916,66.97896,103.6181
7927,66.75512,103.6353
16774,65.56805,103.6442
12743,65.05276,103.6491
24223,66.28759,103.6524
1184,63.46642,103.6594
19867,66.7219,103.6644
6706,65.65581,103.6644
17813,68.72897,103.6782
6535,64.04389,103.6805
8642,64.20492,103.6839
12328,62.87739,103.6848
4579,68.91069,103.7011
6548,65.99078,103.7061
17600,65.33005,103.7244
15673,63.43905,103.7247
13876,65.13709,103.7386
12298,67.19421,103.7516
10492,64.93783,103.7577
13373,65.16747,103.7879
23230,66.42832,103.8422
5003,67.15867,103.8433
5317,67.25419,103.8437
2309,65.83305,103.8489
15066,66.30539,103.8522
13880,66.82614,103.8567
23731,65.73936,103.8932
5253,65.77153,103.9089
4237,66.65253,103.9121
20925,68.97441,103.9181
6436,65.59186,103.921
9501,66.05092,103.9482
4104,67.23806,103.9784
13444,67.98866,103.9803
23977,67.41672,103.9911
6324,66.10993,103.9913
15088,67.82915,103.9962
14846,66.43953,104.0047
19332,66.07982,104.0078
22272,64.94584,104.0162
9782,66.02355,104.0173
21983,69.23036,104.0257
8550,65.59094,104.0323
7961,66.50938,104.0396
17545,66.67394,104.0444
2799,66.78698,104.0527
11506,66.86544,104.0809
1371,63.82574,104.102
5428,66.23821,104.1053
9542,64.67472,104.1077
14496,65.10069,104.1238
9986,65.55869,104.1268
24245,62.26498,104.1348
15923,64.8425,104.1389
18259,66.16502,104.1451
12424,64.89809,104.151
10233,67.06982,104.1591
4189,67.01021,104.1735
13085,64.46778,104.1932
6054,67.21175,104.1953
9059,66.83514,104.2224
2867,63.45113,104.2273
18487,68.14304,104.2278
7724,67.66637,104.2348
24956,67.54476,104.238
21639,67.10602,104.2534
16487,67.47875,104.2591
15047,65.93812,104.2595
15963,66.83921,104.2683
18789,66.28992,104.2723
11348,67.94094,104.2896
24728,70.51128,104.2914
8235,66.05596,104.3081
22166,65.66304,104.3101
24586,64.72981,104.3111
24004,66.99974,104.313
8950,64.57852,104.3304
17533,65.2471,104.3321
12649,65.43292,104.3383
14249,67.09518,104.3434
10494,64.00875,104.3435
7696,66.34089,104.3528
24875,65.87921,104.357
7746,66.40921,104.361
22456,68.77001,104.3631
16437,67.85083,104.3679
13190,65.9683,104.3853
10965,65.79765,104.3895
7636,64.05124,104.3901
13832,66.60791,104.4031
951,66.09947,104.4108
21512,63.09263,104.4273
1497,64.91704,104.4281
23983,66.77574,104.4298
9002,65.25758,104.4308
340,65.23745,104.4441
12035,65.4273,104.4564
23427,63.31715,104.4658
23752,70.00466,104.466
3454,63.58771,104.467
5171,66.72655,104.4695
4872,68.76435,104.4743
10772,66.11294,104.4748
20538,66.60508,104.5026
6322,65.28612,104.5026
11303,68.36694,104.503
7860,65.76482,104.5086
11844,65.73484,104.5094
16439,68.07138,104.5138
18669,64.32257,104.5157
10909,68.45964,104.5201
23115,66.49181,104.5214
8358,66.53406,104.5216
7441,68.73792,104.5348
13492,64.08903,104.5371
18746,67.57426,104.5494
2155,66.72984,104.5502
17934,64.04524,104.574
21282,65.23482,104.5786
17912,66.98252,104.5822
3603,64.89822,104.5861
17240,65.5345,104.6023
16742,68.60394,104.6119
18237,64.19394,104.6135
3710,66.7071,104.6225
11449,67.61981,104.6315
15044,66.30738,104.6319
24227,67.42077,104.6335
10284,67.65704,104.6366
264,63.68816,104.6574
13857,64.50897,104.6736
632,67.1475,104.6767
17732,65.76227,104.6801
18829,69.75152,104.6822
1720,68.34513,104.7006
3159,63.53338,104.7024
8598,68.07738,104.7027
3843,65.68008,104.7032
1960,68.64908,104.7127
14532,68.0661,104.7306
6478,65.5926,104.7464
19999,65.78102,104.7543
23323,66.32684,104.7552
16418,64.59448,104.7582
8508,68.0698,104.76
21733,66.55056,104.7859
13694,65.72572,104.7868
19565,64.98716,104.79
21259,65.03661,104.7919
13434,66.91022,104.7945
7628,66.69679,104.8015
12575,66.76614,104.8083
12382,64.35738,104.8098
9480,68.13215,104.8113
6134,67.20197,104.816
176,66.81312,104.8265
17406,66.20602,104.8284
24137,67.86944,104.8291
20896,68.81836,104.8678
9629,67.90471,104.8685
14227,67.17396,104.8758
1186,64.43147,104.8874
4868,63.75673,104.9152
15707,67.99548,104.9198
14636,65.30266,104.9205
16862,66.70357,104.9227
2941,68.64082,104.9272
16587,63.81356,104.9316
22444,67.93008,104.9369
2313,64.67352,104.9377
14817,66.68431,104.9599
823,66.20276,104.9661
2547,65.13161,104.973
17342,64.72051,104.9827
14704,67.06521,104.9855
22438,66.60117,105.015
18549,63.25179,105.0179
15434,66.05517,105.019
24718,63.76497,105.0288
907,66.95837,105.0414
15018,66.89796,105.0615
19194,67.01346,105.0695
21187,65.02626,105.0766
5199,69.40899,105.0894
529,65.88795,105.0942
20917,65.97536,105.0947
1313,66.07451,105.1086
18103,65.69314,105.1192
862,66.31812,105.1208
21528,65.06387,105.1229
23036,66.75188,105.1257
9698,68.60712,105.1285
14861,65.14281,105.1575
18097,68.01572,105.1644
22647,66.68227,105.1667
21782,65.7642,105.172
20790,67.32521,105.1839
4652,66.97214,105.1855
20842,67.54305,105.1903
1842,66.08413,105.1944
18660,67.80165,105.2037
11840,67.28489,105.2101
11426,67.32686,105.214
23986,66.82725,105.2155
24575,65.7028,105.2162
6110,65.99257,105.2183
2722,62.73809,105.2201
15991,65.07498,105.2216
5727,66.06389,105.223
15438,66.25833,105.2265
15280,62.38539,105.2355
11443,66.47067,105.241
17650,67.36017,105.2444
23756,67.4484,105.256
4749,66.59144,105.2595
21158,66.95323,105.2662
24048,69.20162,105.2719
23001,66.03227,105.2789
8230,65.9301,105.284
11079,66.99553,105.2913
15844,64.37686,105.2929
14264,64.40307,105.3112
7544,65.84472,105.3131
8251,66.7588,105.3169
16468,67.4654,105.317
12634,65.95131,105.3219
10641,67.57886,105.3225
10180,65.4401,105.3289
22342,65.27381,105.3339
10979,67.21426,105.3348
8716,64.01004,105.3351
5380,64.18042,105.3415
11631,68.81559,105.3418
14295,64.23356,105.3489
18691,69.1054,105.3497
2137,65.14815,105.3601
12341,65.56401,105.3675
8718,65.635,105.3681
15379,63.09214,105.3814
20897,69.50743,105.3865
573,68.94814,105.388
19640,63.96774,105.3882
20232,64.12913,105.3937
7715,66.87249,105.3961
10224,65.51929,105.4043
10942,68.22373,105.4156
16367,67.44959,105.4248
23493,66.12847,105.4284
6373,67.19525,105.4341
24855,67.11996,105.438
7677,66.24745,105.4542
18723,66.10887,105.4664
4230,66.1507,105.4808
22430,64.69305,105.483
6029,64.96125,105.489
8952,65.21882,105.491
1469,65.98555,105.4988
3839,66.08205,105.5009
14223,65.71143,105.5179
14239,68.42735,105.5294
10670,71.48656,105.5331
22537,66.17566,105.552
7611,67.01471,105.5528
20890,65.42299,105.5537
427,67.02078,105.5616
3015,65.7936,105.584
2955,66.46532,105.6146
3146,63.75844,105.6245
11004,67.54731,105.6248
3571,64.30338,105.6364
4198,64.98837,105.6441
23240,68.82771,105.6454
14609,64.20041,105.6563
6533,65.32131,105.6657
12188,67.74631,105.6764
638,66.40756,105.6891
23522,66.9475,105.6898
19224,66.60248,105.694
4643,66.67402,105.6942
16411,65.35322,105.7026
23685,66.1666,105.7041
2710,66.79032,105.706
17213,66.7109,105.7077
18448,66.551,105.7101
2190,66.31902,105.7105
18654,65.07326,105.7219
15487,67.9315,105.7268
14224,67.46158,105.7427
11536,62.55787,105.7505
6374,67.96947,105.7521
14642,66.90518,105.7686
7168,69.45052,105.7793
2525,70.475,105.7802
17371,65.50146,105.7827
12047,67.89698,105.7861
411,64.98993,105.7939
8658,63.91222,105.8021
19018,67.28088,105.8265
10549,65.53319,105.8284
16820,69.0616,105.8284
17501,66.14545,105.8383
20551,66.8343,105.8407
2302,64.64051,105.8442
11843,66.31501,105.8468
11072,66.67274,105.848
5446,66.09346,105.8554
15227,66.76791,105.8579
21119,66.32469,105.8594
14389,66.41985,105.8868
4632,65.43499,105.8885
2358,66.79895,105.8924
15268,65.72731,105.9051
19489,66.15107,105.9052
1352,67.45131,105.9085
24404,64.50386,105.9096
21382,67.98705,105.9146
19000,67.14814,105.918
4644,68.02345,105.9209
6159,64.54112,105.9232
9443,63.51326,105.9244
11373,66.37702,105.9248
5137,66.34347,105.9251
3834,68.5689,105.9279
1828,64.38195,105.9582
2627,67.67538,105.9584
11243,67.75376,105.9587
23096,65.064,105.9605
22019,67.92953,105.9806
10379,66.85651,105.9897
22485,63.44102,105.99
879,66.47752,105.9927
12127,64.33997,106.0198
9422,67.3917,106.0426
7462,67.27282,106.0456
3940,65.52533,106.0457
19298,65.88806,106.0497
18708,66.69499,106.0517
2570,64.99295,106.053
14630,64.60023,106.0584
17655,64.26348,106.0661
9774,66.2195,106.072
24517,68.55387,106.0953
7376,66.86053,106.1024
19957,66.30367,106.1037
3770,67.38665,106.1061
14343,64.50572,106.108
2575,65.82856,106.1109
16389,65.86448,106.1127
11068,65.74972,106.1128
156,64.12642,106.1139
20109,67.38237,106.1247
563,67.88036,106.1251
12714,66.58173,106.1254
24400,67.41775,106.1401
10910,68.08292,106.1436
5014,63.92219,106.1497
22621,66.82154,106.1513
9907,70.10753,106.1532
506,66.77301,106.1557
4964,66.00548,106.1651
5642,60.8634,106.1939
2595,69.57597,106.1963
9118,66.31447,106.2018
10464,66.22051,106.2064
2328,67.07004,106.2097
13343,66.01722,106.2152
18310,65.29473,106.2219
23580,65.38912,106.2248
213,66.68413,106.2265
22403,65.78283,106.2273
18879,67.49563,106.2282
4276,69.49077,106.2307
5841,68.37401,106.2333
6582,65.0852,106.2354
18946,67.85729,106.2393
18193,69.48549,106.2442
10892,64.90698,106.2489
4552,63.45437,106.2611
7514,66.60203,106.2728
5821,68.57242,106.2736
12711,64.64412,106.2843
3148,69.29626,106.2849
4128,64.00428,106.2963
5976,65.50148,106.2971
4115,65.13343,106.3017
24961,68.92465,106.3021
23435,69.87076,106.3125
4735,66.21228,106.3145
6323,64.30048,106.3191
21322,66.6771,106.3209
11507,67.73325,106.3248
22410,69.18241,106.3253
3202,68.24127,106.3258
6654,67.01302,106.3264
3687,65.11549,106.3269
4920,64.55365,106.3292
18012,68.59984,106.3343
9241,67.31178,106.3544
4823,64.99997,106.3608
22534,68.09125,106.3661
18406,69.43223,106.3676
24115,67.59748,106.3744
15212,64.4579,106.3788
13034,66.99211,106.3826
7930,64.72417,106.3895
12687,66.69107,106.3925
4682,68.36251,106.3978
13828,68.22274,106.3999
11059,64.84197,106.4034
13333,65.40789,106.4048
1900,63.42211,106.4187
640,69.05997,106.4195
22463,65.94586,106.4359
17429,68.42721,106.4421
11757,64.77026,106.4436
45,65.98088,106.4499
9668,64.14983,106.4504
12133,66.00974,106.4586
21377,67.39105,106.465
17223,67.21865,106.4772
8545,67.9341,106.4818
5035,64.49618,106.4894
19657,67.72585,106.4953
22448,65.64829,106.5113
3443,67.43796,106.5115
7615,66.39552,106.5133
652,67.97389,106.5185
3628,66.75144,106.5216
3554,64.82036,106.5226
23509,64.77087,106.5228
16075,67.51395,106.5245
7025,66.54596,106.5251
5272,67.62248,106.5357
9976,63.54215,106.5463
1466,67.78035,106.5681
1281,68.99195,106.5697
17548,64.44211,106.5789
2093,64.65639,106.579
18650,69.37409,106.5867
3035,63.63362,106.5873
19246,70.02453,106.5897
19690,69.52934,106.595
16928,66.03004,106.6019
13358,64.23067,106.6067
16044,66.13712,106.6076
21702,68.67167,106.6081
3033,68.26773,106.61
1712,66.2865,106.6149
1222,64.76508,106.6241
19328,67.35447,106.6254
15358,66.63653,106.6289
13515,65.34667,106.6298
7388,67.40434,106.6406
24287,67.6395,106.6431
13831,66.7667,106.6478
12130,66.7465,106.6506
23729,72.70475,106.6605
11814,65.31594,106.6611
12018,70.33009,106.6697
3914,64.98952,106.6708
1284,67.12538,106.6739
23647,66.8137,106.6755
21572,68.11275,106.676
13833,66.22167,106.6763
18570,63.92725,106.6814
21897,65.06244,106.6877
16779,67.82005,106.7011
20016,65.46606,106.7027
23309,64.37656,106.7087
40,64.04535,106.7115
24260,67.5213,106.7127
12417,66.05758,106.7136
4412,64.26905,106.7157
19646,66.66678,106.7181
12143,67.04952,106.7259
12096,67.3204,106.7376
11928,66.02174,106.7391
23270,64.93749,106.7489
16937,66.7947,106.7529
3215,66.43096,106.7579
14062,66.89404,106.7602
21589,69.76118,106.7714
19707,65.61842,106.7735
1271,66.27843,106.7793
15184,68.49951,106.7804
10528,67.18814,106.7904
3822,66.04283,106.7968
21901,65.30894,106.7987
24889,64.743,106.8072
24602,67.08059,106.8189
8516,63.19953,106.8324
21029,66.8559,106.8363
9478,68.15578,106.8394
125,67.9415,106.8558
6878,66.81763,106.8565
4300,65.31528,106.8598
3072,68.90985,106.8616
20493,65.56701,106.8728
6086,65.01631,106.8729
21846,65.47707,106.8859
16224,63.93158,106.8868
10835,66.45649,106.8881
19668,63.39936,106.8881
3100,64.23339,106.8916
22425,66.53719,106.8997
9822,65.53454,106.9057
18176,66.31937,106.9169
10068,65.41261,106.923
7020,68.32773,106.9353
14679,66.47317,106.9388
